Company,Reported_Amount,Extracted_Amount,Amount_Difference,Amount_Difference_Percentage,Reported_Round,Extracted_Round,Round_Match,Confidence_Score,Verification_Status,Matches,Mismatches,News_URL,Analysis_Date
Bosque Foods,0.22,,,,SEED,,False,0.0,unverified,,"amount, round_type",https://vegconomist.com/startups-accelerators-incubators/the-innovative-startups-joining-the-6th-proveg-accelerator-are-revealed-from-mushroom-meat-to-upcycled-fruit-pits/,2025-03-11 21:37:29
Bosque Foods,0.22,,,,SEED,,False,0.0,unverified,,,https://vegconomist.com/startups-accelerators-incubators/the-innovative-startups-joining-the-6th-proveg-accelerator-are-revealed-from-mushroom-meat-to-upcycled-fruit-pits/,2025-03-11 21:37:29
Exalens,0.726,550.0,549.274,75657.57575757576,SEED,Seed,True,0.5,unverified,round_type,amount,https://www.exalens.com/resources/uncategorized/exalens-raises-550kto-bring-cyber-physical-security-to-industry-40/,2025-03-11 21:37:29
OTOVINN,1.0,1.0,0.0,0.0,SEED,Seed,True,1.0,verified,"amount, round_type",,https://egirisim.com/2022/05/23/otovinn-15-milyon-dolar-degerleme-uzerinden-1-milyon-dolar-yatirim-aldi/,2025-03-11 21:37:29
Livy Care,2.53,,,,SEED,,False,0.0,unverified,,,https://www.deutsche-startups.de/2022/05/20/dealmonitor-hellofreshgo/,2025-03-11 21:37:29
Skyseed,2.2,30.0,27.8,1263.6363636363635,SEED,Not provided,False,0.0,unverified,,"amount, round_type",https://www.deutsche-startups.de/2022/05/04/dealmonitor-proglove-gropyus/,2025-03-11 21:37:29
Scompler,7.7,,,,SERIES A,,False,0.0,unverified,,,https://www.deutsche-startups.de/2022/06/08/aufstrebende-startups-juni/,2025-03-11 21:37:29
valyria,11.0,,,,SEED,,False,0.0,unverified,,,https://www.deutsche-startups.de/2022/07/20/investitionen-halbjahr-2022/,2025-03-11 21:37:29
ABAKA,5.0,,,,SERIES A,,False,0.0,unverified,,,https://www.prweb.com/releases/2021/11/prweb18317169.htm,2025-03-11 21:37:29
Badili,0.0,,,,SEED,Not specified in the article,False,0.0,unverified,,round_type,https://www.vccircle.com/artha-india-ventures-debuts-in-africa-with-investment-in-badili,2025-03-11 21:37:29
auto-ecole.net,10.0,10.0,0.0,0.0,SERIES B,Series B,True,1.0,verified,"amount, round_type",,https://www.clipperton.com/transactions/auto-ecole-net-raises-a-series-b-round,2025-03-11 21:37:29
Lanterne,0.44,,,,SEED,,False,0.0,unverified,,,https://siliconcanals.com/news/startups/travel-mobility/lanterne-raises-400k/,2025-03-11 21:37:29
Unbound Nation,3.0,3.0,0.0,0.0,SEED,Not specified,False,0.5,unverified,amount,round_type,https://www.deutsche-startups.de/2022/05/11/dealmonitor-gethenry/,2025-03-11 21:37:29
Scooper Energy,1.1,30.0,28.9,2627.272727272727,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.deutsche-startups.de/2022/05/04/dealmonitor-proglove-gropyus/,2025-03-11 21:37:29
Quai,2.0,2.0,0.0,0.0,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,https://blog.quai.network/quai-network-receives-2m-from-alumni-ventures-f64a21f711ac,2025-03-11 21:37:29
Utila,0.05,,,,SEED,,False,0.0,unverified,,,https://www.k5global.com/companies,2025-03-11 21:37:29
Kikimora,0.165,0.15,0.015000000000000013,9.090909090909099,SEED,Not specified,False,0.5,unverified,amount,round_type,https://forbesbulgaria.com/2022/05/20/socyber-%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B8-150-000-%D0%B5%D0%B2%D1%80%D0%BE-%D1%84%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%B8%D1%80%D0%B0%D0%BD%D0%B5-%D0%BE%D1%82-%D0%B8%D0%BC%D0%B2%D0%B5%D0%BD%D1%87%D1%8A/?cn-reloaded=1,2025-03-11 21:37:29
MYSO Finance,2.4,2.4,0.0,0.0,SEED,Seed Round,False,0.5,unverified,amount,round_type,https://medium.com/mysofinance/myso-closes-2-4m-seed-round-2f4f8114144e,2025-03-11 21:37:29
spacebands,0.594,450.0,449.406,75657.57575757576,SEED,Seed,True,0.5,unverified,round_type,amount,https://www.innovateukedge.ukri.org/success-story/SpaceBands-raises-PS450K-to-grow-investment-readiness-support,2025-03-11 21:37:29
Blue Shock Race,0.605,15.0,14.395,2379.3388429752067,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.baltictimes.com/from__150_000_to__15_million___the_result_of_blue_shock_race_s_firm_growth/,2025-03-11 21:37:29
Lita.co,12.1,,,,EARLY VC,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-mars-2022/,2025-03-11 21:37:29
Maison Stella & Suzie,2.75,,,,SEED,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-avril-2022/,2025-03-11 21:37:29
Rubypayeur,0.44,,,,EARLY VC,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-avril-2022/,2025-03-11 21:37:29
Insert Coin,5.445545,4.3,1.1455450000000003,21.036370097024268,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://bit.ly/3PW1wl3,2025-03-11 21:37:29
LottieLab,4.0,,,,SEED,,False,0.0,unverified,,,https://businesscloud.co.uk/news/gifs-of-the-future-firm-backed-by-vcs-and-angels/,2025-03-11 21:37:29
Tech5,10.5,10.0,0.5,4.761904761904762,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,https://www.startupticker.ch/en/news/additional-us-10-million-for-tech5,2025-03-11 21:37:29
Virtuagym,3.3,,,,EARLY VC,,False,0.0,unverified,,,https://www.healthclubmanagement.co.uk/health-club-management-news/Virtuagym-raises-3-million-Euro-investment-to-fuel-innovation-in-health-and-fitness-technology/349447,2025-03-11 21:37:29
Lawtech Software Group,1.0,,,,SEED,Seed Funding,False,0.0,unverified,,round_type,https://www.thebusinessdesk.com/westmidlands/your-news/lawtech-365-closes-oversubscribed-seed-funding-round-for-technology-to-revolutionise-the-legal-sector,2025-03-11 21:37:29
RDS,6.6,5.0,1.5999999999999996,24.24242424242424,EARLY VC,Not specified,False,0.0,unverified,,"amount, round_type",https://realdeals.eu.com/article/bgf-invests-5m-in-rds,2025-03-11 21:37:29
IPOR,5.6,5.55,0.04999999999999982,0.8928571428571397,EARLY VC,Strategic Funding,False,0.5,unverified,amount,round_type,https://medium.com/ipor-labs/announcing-5-55m-in-funding-for-the-ipor-protocol-109470d9e5a2,2025-03-11 21:37:29
Maison Sport,0.58344,442.0,441.41656,75657.57575757576,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.insider.co.uk/news/maison-sport-secures-442000-funding-26627997,2025-03-11 21:37:29
Optimate,3.52,10.0,6.48,184.0909090909091,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.deutsche-startups.de/2022/04/07/dealmonitor-grover-productsup/,2025-03-11 21:37:29
GoodsForecast,3.095629,206.0,202.904371,6554.544197641255,LATE VC,Not specified,False,0.0,unverified,,"amount, round_type",https://rb.ru/news/goodsforecast/,2025-03-11 21:37:29
Violet,0.0,,,,SEED,,False,0.0,unverified,,,https://www.deutsche-startups.de/2022/04/08/startupticker-14-2022/,2025-03-11 21:37:29
AGORA images,2.42,2.2,0.21999999999999975,9.090909090909081,SEED,Not specified,False,0.5,unverified,amount,round_type,https://www.finsmes.com/2022/04/agora-awards-raises-2-2m-in-funding.html,2025-03-11 21:37:29
Meet5,1.21,,,,SEED,,False,0.0,unverified,,,https://www.deutsche-startups.de/2022/04/21/dealmonitor-gotiger-artnight/,2025-03-11 21:37:29
Audyo,1.0,,,,SEED,,False,0.0,unverified,,,https://serfly.net/news/2160/audyo-raises-1-million-seed-funding-round/,2025-03-11 21:37:29
White Sands,8.0,,,,SEED,,False,0.0,unverified,,,https://explode.africa/white-sands-raises-8m-for-its-island-metaverse/,2025-03-11 21:37:29
Operance,0.33,0.25,0.08000000000000002,24.242424242424246,SEED,Seed,True,0.5,unverified,round_type,amount,https://www.businessupnorth.co.uk/innovative-building-information-management-business-raises-250000-to-develop-audit-trail-software/,2025-03-11 21:37:29
Freshflow,1.87,,,,SEED,,False,0.0,unverified,,,https://www.deutsche-startups.de/2022/06/14/freshflow-food-waste/,2025-03-11 21:37:29
Freshflow,1.87,,,,SEED,,False,0.0,unverified,,,https://www.deutsche-startups.de/2022/06/14/freshflow-food-waste/,2025-03-11 21:37:29
Freshflow,0.0,,,,SEED,,False,0.0,unverified,,,https://techcrunch.com/2022/04/21/freshflow-seed/,2025-03-11 21:37:29
Freshflow,0.0,,,,SEED,,False,0.0,unverified,,,https://techcrunch.com/2022/04/21/freshflow-seed/,2025-03-11 21:37:29
Standard Gas,3.0,,,,EARLY VC,,False,0.0,unverified,,,https://bebeez.it/private-equity-breakfast/notizie-da-tiger-infrastructure-partners-coral-tree-management-ares-management-venturi-partners-peugeot-invest-hig-capital-thomas-h-lee-partner-e-altri/,2025-03-11 21:37:29
MedicubeX,0.341,,,,SEED,,False,0.0,unverified,,,https://www.foundme.io/uudised/2022/05/04/investorid-toetasid-soome-idu-400-miljoni-eurosele-turule-purgimist,2025-03-11 21:37:29
MyMove,3.52,,,,SERIES A,,False,0.0,unverified,,,https://siliconcanals.com/news/startups/travel-mobility/mymove-has-secured-3-2m/,2025-03-11 21:37:29
Gripable,11.0,11.0,0.0,0.0,SERIES A,Series A,True,1.0,verified,"amount, round_type",,https://www.finsmes.com/2022/04/gripable-raises-11m-in-series-a-funding.html,2025-03-11 21:37:29
Beacon Power Services,0.1,,,,SEED,,False,0.0,unverified,,,https://kaleo.vc/portfolio/,2025-03-11 21:37:29
AugmentedCISO,2.75,,,,SEED,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-mars-2022/,2025-03-11 21:37:29
Wanda Fish,3.0,7.0,4.0,133.33333333333331,SEED,Seed Funding,False,0.0,unverified,,"amount, round_type",https://www.prnewswire.com/news-releases/wanda-fish-raises-usd-7m-in-seed-funding-to-accelerate-pilot-production-of-cultivated-bluefin-tuna-301950831.html,2025-03-11 21:37:29
Sensible Biotechnologies,0.0,,,,SEED,,False,0.0,unverified,,,https://www.ffvcnc.org/new-blog/introducing-first-flights-inaugural-wheelsup-cohort,2025-03-11 21:37:29
Spark+ Africa Fund,2.64,,,,EARLY VC,,False,0.0,unverified,,,https://www.bio-invest.be/en/investments/spark-africa-fund,2025-03-11 21:37:29
DOOD,2.75,,,,EARLY VC,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-mars-2022/,2025-03-11 21:37:29
Sileon,1.7,,,,EARLY VC,,False,0.0,unverified,,,https://sileon.com/investors/press-releases/visa-to-invest-further-in-sileons-bnpl-saas-platform/,2025-03-11 21:37:29
Zelt,3.8,,,,SEED,Not mentioned,False,0.0,unverified,,round_type,https://www.mushaventures.com/global#/zelt/,2025-03-11 21:37:29
Elevien,2.2,,,,SEED,,False,0.0,unverified,,,https://www.debug.hr/bornfightov-sportsko-tehnoloski-startup-grabi-prema-globalnoj-ekspanziji-i-povecava-svoj-tim/,2025-03-11 21:37:29
Eggmented Reality,1.2,,,,SEED,,False,0.0,unverified,,,https://fresh-start.co.il/portfolio/,2025-03-11 21:37:29
TANKU,8.0,8.0,0.0,0.0,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,https://www.calcalistech.com/ctechnews/article/syjdtdlx9,2025-03-11 21:37:29
CHILI publish,11.0,11.0,0.0,0.0,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,http://ow.ly/T1UL50IA9vj,2025-03-11 21:37:29
Freyapharmasolutions,8.5,8.5,0.0,0.0,SEED,Not specified,False,0.5,unverified,amount,round_type,https://freyapharmasolutions.com/freya-pharma-solutions-secures-us8-5-million-enabling-the-start-of-a-pivotal-phase-3-trial-with-lybrido-against-female-sexual-interest-arousal-disorder-fsiad/,2025-03-11 21:37:29
cuvama,1.452,1.1,0.35199999999999987,24.242424242424235,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.newswire.com/news/cuvama-the-first-native-customer-value-management-platform-raises-1-1m-21669214,2025-03-11 21:37:29
Equinox Kombucha,1.452,,,,SEED,,False,0.0,unverified,,,http://dlvr.it/SMlg8D,2025-03-11 21:37:29
Medical Templates AG,2.75,3.0,0.25,9.090909090909092,SEED,Seed,True,1.0,verified,"amount, round_type",,https://www.venturekick.ch/Medical-Templates-secures-CHF-3-million-seed-funding-round,2025-03-11 21:37:29
Caplena,0.0,7.0,7.0,,SEED,Seed,True,1.0,verified,round_type,,https://www.startupticker.ch/en/news/saas-startup-caplena-raises-7-figure-seed-round#.YkcekCmdiPw.twitter,2025-03-11 21:37:29
SafetyNet Technologies,2.376,,,,SEED,,False,0.0,unverified,,,http://ow.ly/QKUq103S7s6,2025-03-11 21:37:29
Nibble Technology,3.3,,,,SEED,,False,0.0,unverified,,,https://serfly.net/investment/nibble-technology-raises-3-3-million/,2025-03-11 21:37:29
2mee,0.66,,,,EARLY VC,,False,0.0,unverified,,,https://www.thebusinessdesk.com/yorkshire/news/2091495-major-funding-round-completed-at-hologram-messaging-company,2025-03-11 21:37:29
2mee,0.66,,,,EARLY VC,,False,0.0,unverified,,,https://www.thebusinessdesk.com/yorkshire/news/2091495-major-funding-round-completed-at-hologram-messaging-company,2025-03-11 21:37:29
2mee,0.526284,,,,SEED,,False,0.0,unverified,,,https://files.syndicateroom.com/fund-docs/F28-2017-portfolio-6MARCH2019.pdf,2025-03-11 21:37:29
2mee,0.526284,,,,SEED,,False,0.0,unverified,,,https://files.syndicateroom.com/fund-docs/F28-2017-portfolio-6MARCH2019.pdf,2025-03-11 21:37:29
Zortify,3.41,3.05,0.3600000000000003,10.557184750733146,SEED,Seed Funding,False,0.0,unverified,,"amount, round_type",https://www.corporatenews.lu/en/archives-shortcut/archives/article/2022/04/zortify-s-a-announces-the-closing-of-its-seed-funding?author=Zortify+S.A.,2025-03-11 21:37:29
BoldBooks,0.0,,,,SEED,,False,0.0,unverified,,,https://shifter.no/nyheter/bok-grnderen-var-klar-for-et-nytt-kapittel-men-historien-tok-en-uventet-vending/243086,2025-03-11 21:37:29
Rice in Action,0.48125,0.4375,0.04375000000000001,9.090909090909092,SEED,Not specified,False,0.5,unverified,amount,round_type,https://elreferente.es/inversiones/la-foodtech-arroces-la-bomba-logra-437-500e-a-traves-de-startupxplore/,2025-03-11 21:37:29
MaaS Global,0.0,,,,SERIES C,,False,0.0,unverified,,,https://arcticstartup.com/maas-global-is-acquiring-quicko/,2025-03-11 21:37:29
Amplication,6.6,6.6,0.0,0.0,SEED,Not specified,False,0.5,unverified,amount,round_type,https://www.prnewswire.com/news-releases/amplication-raises-6-6-million-to-automate-backend-development-301478303.html,2025-03-11 21:37:29
auticon,4.0,,,,EARLY VC,,False,0.0,unverified,,,https://www.prweb.com/releases/autism-impact-fund-leads-investment-round-in-auticon-a-global-technology-consulting-firm-that-employs-neurodiverse-adults-825391710.html,2025-03-11 21:37:29
SAM Seamless Network,0.0,,,,SERIES B,Series B,True,1.0,verified,round_type,,https://securingsam.com/sam-and-ericsson-ventures/,2025-03-11 21:37:29
Learnlife,1.43,1.0,0.42999999999999994,30.069930069930066,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.facebook.com/128620753865770/posts/learnlife-has-raised-over-1m-lets-give-it-up-for-their-community-of-investors-ca/5070463463014783/?locale=ms_MY,2025-03-11 21:37:29
Fever Energy,0.0,,,,SEED,Seed,True,1.0,verified,round_type,,https://nordic9.com/news/fever-energy-raised-seed-funding/,2025-03-11 21:37:29
Anonymised,1.21,1.1,0.10999999999999988,9.090909090909081,SEED,Not specified,False,0.5,unverified,amount,round_type,http://ow.ly/nuIu30s9nP6,2025-03-11 21:37:29
Cordulus,3.19,2.9,0.29000000000000004,9.090909090909092,SEED,Not specified,False,0.5,unverified,amount,round_type,https://www.eu-startups.com/2022/02/danish-agtech-startup-fieldsense-raises-e2-9-million-to-give-farmers-better-weather-insights/,2025-03-11 21:37:29
OakTree Power,3.3,,,,SEED,Scaleup program,False,0.0,unverified,,round_type,https://dynamicbusiness.com/topics/news/energylabs-scaleup-program-welcomes-ten-climate-tech-start-ups.html,2025-03-11 21:37:29
RegTick,1.32,1.0,0.32000000000000006,24.242424242424246,SEED,Seed,True,0.5,unverified,round_type,amount,https://syncni.com/article/8772/regtick-secures-1m-in-seed-funding-and-announces-plans-for-30-new-jobs,2025-03-11 21:37:29
Strike Pharma,5.445545,45.0,39.554455,726.3635687520716,LATE VC,Financing Round,False,0.0,unverified,,"amount, round_type",https://strikepharma.com/news/strike-pharma-completes-45-msek-financing-round/,2025-03-11 21:37:29
Moroxite F,1.210121,,,,EARLY VC,Not specified in the news article,False,0.0,unverified,,round_type,"https://news.cision.com/se/almi-invest-ab/r/almi-invest-investerar-i-moroxite-f-som-forbattrar-behandlingen-av-benskora,c3509875",2025-03-11 21:37:29
Saveggy,0.968097,,,,SEED,,False,0.0,unverified,,,https://www.almi.se/almi-invest/nyheter/almi-invest-greentech-investerar-i-saveggys-atbara-alternativ-till-plastfilm/,2025-03-11 21:37:29
Muse Group,1.5,,,,SEED,Second,False,0.0,unverified,,round_type,https://www.globenewswire.com/en/news-release/2022/07/11/2477607/0/en/New-Web3-Platform-Muse-Group-Opens-Second-Funding-Round-on-July-13.html,2025-03-11 21:37:29
Redpanda,50.0,50.0,0.0,0.0,SERIES B,Not specified,False,0.5,unverified,amount,round_type,https://redpanda.com/blog/redpanda-series-b-funding-future-of-streaming-data,2025-03-11 21:37:29
Redpanda,50.0,50.0,0.0,0.0,SERIES B,Not specified,False,0.0,unverified,,"amount, round_type",https://redpanda.com/blog/redpanda-series-b-funding-future-of-streaming-data,2025-03-11 21:37:29
Redpanda,12.5,15.5,3.0,24.0,SERIES A,Not specified,False,0.5,unverified,amount,round_type,https://techcrunch.com/2021/01/26/vectorized-announces-15-5m-investment-to-build-simpler-streaming-data-tool/,2025-03-11 21:37:29
Redpanda,12.5,15.5,3.0,24.0,SERIES A,Not specified,False,0.0,unverified,,"amount, round_type",https://techcrunch.com/2021/01/26/vectorized-announces-15-5m-investment-to-build-simpler-streaming-data-tool/,2025-03-11 21:37:29
KEEY AEROGEL,1.65,18.0,16.35,990.909090909091,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://presse.bpifrance.fr/keey-aerogel-leve-18-meur-pour-fabriquer-de-laerogel-vert-a-lechelle-industrielle-grace-a-un-procede-de-rupture,2025-03-11 21:37:29
Char.gy,77.352,6.4,70.952,91.72613507084496,SERIES B,Not specified,False,0.0,unverified,,"amount, round_type",https://zouk.com/infrastructure-news/255-zouk-capital-backs-on-street-ev-charging-company-char-gy,2025-03-11 21:37:29
Sad Cat Studios,0.0,,,,SEED,,False,0.0,unverified,,,https://naavik.co/digest/love-and-pies-merge2/,2025-03-11 21:37:29
Spectaflow,1.9,1.9,0.0,0.0,SEED,Seed,True,1.0,verified,"amount, round_type",,https://northstack.is/2022/01/05/spectaflow-closes-a-1-9m-funding-round-led-by-frumtak-ventures/,2025-03-11 21:37:29
InSoma Bio,1.8,,,,SEED,,False,0.0,unverified,,,https://www.bizjournals.com/triangle/inno/stories/fundings/2024/05/16/duke-spinout-insoma-bio-clinical-trials.html,2025-03-11 21:37:29
Natix Network,0.12,3.5,3.38,2816.666666666667,SEED,Seed Round,False,0.0,unverified,,"amount, round_type",https://www.natix.network/blog/natix-network-raised-3-5-million-seed-round-for-development,2025-03-11 21:37:29
Piggy,0.0,,,,SEED,Not specified,False,0.0,unverified,,round_type,https://www.av.vc/portfolio,2025-03-11 21:37:29
End Game,0.0,,,,SEED,,False,0.0,unverified,,,https://f.inc/portfolio,2025-03-11 21:37:29
Electrify Video Partners,0.0,,,,SEED,,False,0.0,unverified,,,https://www.equablecapital.com/investments,2025-03-11 21:37:29
Fruitcast,0.6864,2.8,2.1136,307.9254079254079,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://businesscloud.co.uk/news/fruitful-ai-tool-launches-to-market-following-2-8m-backing/,2025-03-11 21:37:29
ManoCap Energy,20.0,,,,LATE VC,,False,0.0,unverified,,,https://inspiredevolution.co.za/funds,2025-03-11 21:37:29
Bobbee,1.21,1.2,0.010000000000000009,0.8264462809917362,SEED,Not specified,False,0.5,unverified,amount,round_type,https://www.maddyness.com/2023/09/06/comptabilite-bobbee/,2025-03-11 21:37:29
ARX Alliance Ltd.,0.0,,,,SEED,,False,0.0,unverified,,,https://www.muus.com/portfolio,2025-03-11 21:37:29
Meatly,1.32,,,,SEED,Not specified in the news article,False,0.0,unverified,,round_type,https://www.just-food.com/news/funding-for-uk-cell-based-pet-food-firm-good-dog-food/,2025-03-11 21:37:29
Picosats,0.55,,,,SEED,,False,0.0,unverified,,,https://www.liftt.com/portfolio-item/picosats/,2025-03-11 21:37:29
Kynda,1.98,,,,SEED,,False,0.0,unverified,,,https://www.deutsche-startups.de/2023/02/20/super-angels-lemcke-2023/,2025-03-11 21:37:29
ai|coustics,0.1595,,,,SEED,,False,0.0,unverified,,,https://www.linkedin.com/feed/update/urn:li:activity:6953367852875718656,2025-03-11 21:37:29
Above Surveying,3.168,2.4,0.7680000000000002,24.24242424242425,SERIES A,Not specified,False,0.0,unverified,,"amount, round_type",https://www.solarpowerportal.co.uk/news/the_clean_growth_fund_leads_2.4m_funding_round_into_above,2025-03-11 21:37:29
Above Surveying,3.168,2.4,0.7680000000000002,24.24242424242425,SERIES A,Not specified,False,0.0,unverified,,round_type,https://www.solarpowerportal.co.uk/news/the_clean_growth_fund_leads_2.4m_funding_round_into_above,2025-03-11 21:37:29
Above Surveying,1.056,,,,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://www.abovesurveying.com/above-takes-to-the-skies-with-investment-round-to-boost-global-ambitions/,2025-03-11 21:37:29
Above Surveying,1.056,,,,SEED,Not specified,False,0.0,unverified,,round_type,https://www.abovesurveying.com/above-takes-to-the-skies-with-investment-round-to-boost-global-ambitions/,2025-03-11 21:37:29
Vinden,3.630363,30.0,26.369637,726.3636446272728,LATE VC,Not specified,False,0.0,unverified,,"amount, round_type",https://nordic9.com/news/vinden-raises-sek-30-million-in-a-round-led-by-proptech-farm/,2025-03-11 21:37:29
Chilowé,2.75,,,,EARLY VC,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-janvier-2022/,2025-03-11 21:37:29
Just Wont Die,7.5,,,,EARLY VC,,False,0.0,unverified,,,https://www.ft.com/content/aaa4a42c-efcc-4c60-9dc6-ba6cccb599e6,2025-03-11 21:37:29
Groundcover,4.5,24.5,20.0,444.44444444444446,SEED,Seed and Series A,False,0.0,unverified,,"amount, round_type",https://www.finsmes.com/2022/09/groundcover-raises-24-5m-in-seed-and-series-a-funding.html,2025-03-11 21:37:29
Hypernative,0.5,,,,SEED,,False,0.0,unverified,,,https://www.ft.com/content/aaa4a42c-efcc-4c60-9dc6-ba6cccb599e6,2025-03-11 21:37:29
Vosbor,0.4866,,,,SEED,,False,0.0,unverified,,,https://www.ft.com/content/aaa4a42c-efcc-4c60-9dc6-ba6cccb599e6,2025-03-11 21:37:29
OVEX,5.0,25.0,20.0,400.0,EARLY VC,Not specified,False,0.0,unverified,,"amount, round_type",https://bitcoinke.io/2022/12/aza-finance-included-as-ftx-investment-portfolio/,2025-03-11 21:37:29
Pheon Therapeutics,0.0,68.0,68.0,,SEED,Seed funding,False,0.0,unverified,,round_type,https://pheontx.com/pheon-therapeutics-launches-with-68-million-in-financing-to-advance-novel-antibody-drug-conjugates-for-treatment-of-solid-tumors/,2025-03-11 21:37:29
Immortal Game,3.85,15.5,11.65,302.5974025974026,SEED,Not specified,False,0.0,unverified,,"amount, round_type",https://tech.eu/2022/09/21/immortal-game-does-a-winning-move-raises-155-million-to-build-online-chess-experience,2025-03-11 21:37:29
AVEA,2.291666,2.43,0.13833399999999996,6.036394483314756,SEED,Not specified,False,0.5,unverified,amount,round_type,https://tech.eu/2022/06/03/swiss-longevity-startup-avea-gets-eur243-million-booster,2025-03-11 21:37:29
Roof,3.3,3.0,0.2999999999999998,9.090909090909086,SEED,Seed,True,1.0,verified,"amount, round_type",,https://www.frenchweb.fr/seed-logement-etudiant-roof-leve-3-millions-deuros-aupres-de-xange-et-founders-future/431733,2025-03-11 21:37:29
SMAFO,0.7612,0.6915,0.06969999999999998,9.156594850236468,SEED,Seed Investment,False,0.5,unverified,amount,round_type,https://www.seedmatch.de/investmentchancen/smafo,2025-03-11 21:37:29
Vesto,1.21,1.1,0.10999999999999988,9.090909090909081,SEED,Not specified,False,0.5,unverified,amount,round_type,https://vesto.fr/2023/02/01/societe-tech-vesto-levee-de-fonds-de-110-millions-deuros-12-2021/,2025-03-11 21:37:29
Kovalee,1.76,,,,SEED,,False,0.0,unverified,,,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-decembre-2021/,2025-03-11 21:37:29
Dhp,1.375,,,,SEED,,False,0.0,unverified,,,https://www.startupticker.ch/en/news/crowdinvesting-fuer-buendner-solarfaltdach-gut-gestartet,2025-03-11 21:37:29
PainDrainer,1.512652,,,,EARLY VC,,False,0.0,unverified,,,https://www.almi.se/almi-invest/nyheter/almi-invest-investerar-i-paindrainers-digitala-smartcoach/,2025-03-11 21:37:29
Walliance,2.31,,,,SERIES A,,False,0.0,unverified,,,https://www.ilsole24ore.com/art/seac-fin-e-botzen-invest-scommettono-portale-walliance-AEaqNrY,2025-03-11 21:37:29
Classified Cycling,5.5,5.0,0.5,9.090909090909092,EARLY VC,Not specified,False,0.5,unverified,amount,round_type,https://openmanufacturingcampus.com/nl/2021/01/classified-cycling-haalt-vijf-miljoen-euro-op-en-lanceert-eigen-classified-carbonwielen/,2025-03-11 21:37:29
Molecular Attraction,0.302531,,,,EARLY VC,Not specified in the news article,False,0.0,unverified,,round_type,"https://news.cision.com/se/almi-invest-ab/r/almi-invest-investerar-i-molecular-attractions-miljovanliga-myggbekampning,c3467266",2025-03-11 21:37:29
Sylndr,0.0,35.0,35.0,,SEED,Series A,False,0.0,unverified,,round_type,https://incubees.com/loftyinc-capital-management-a-nigerian-venture-capital-firm-made-65-african-investments-in-2021/,2025-03-11 21:37:29
ATRO Medical B.V.,2.09,,,,EARLY VC,,False,0.0,unverified,,,https://static1.squarespace.com/static/5be44aae31d4df0da1842b0a/t/61b88a43718b052a1c0bed13/1639483971735/ATRO+Medical+financing+round+dec+2021.pdf,2025-03-11 21:37:29
PayAnalytics,3.4,3.4,0.0,0.0,SERIES A,Not specified,False,0.5,unverified,amount,round_type,https://northstack.is/2021/12/30/payanalytics-raises-3-4m-from-eyrir-voxtur-and-nsa-ventures/,2025-03-11 21:37:29
Kuunda,2.3,,,,SEED,,False,0.0,unverified,,,https://www.microcapital.org/microcapital-brief-kuunda-raises-2m-in-equity-to-expand-short-term-financing-model-for-mobile-money-agents-retailers-consumers-into-7-countries-in-africa/,2025-03-11 21:37:29
Exorde,1.2,1.2,0.0,0.0,SEED,Private token sale first round,False,0.5,unverified,amount,round_type,https://www.exorde.network/blog/exorde-labs-raises-1-2-million,2025-03-11 21:37:29
Namastay,2.31,2.1,0.20999999999999996,9.09090909090909,SEED,Seed,True,1.0,verified,"amount, round_type",,https://www.namastay.io/journal/namastay-announces-eur-2-1-million-seed-funding-round,2025-03-11 21:37:29
Tax Sketches,1.0,1.0,0.0,0.0,SEED,Not specified,False,0.5,unverified,amount,round_type,https://hackernoon.com/tax-sketches-raises-$1m-in-funding-to-build-the-future-of-legal-tech,2025-03-11 21:37:29
